Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
Kenya,Foreign Exchange Reserves,2007-02-28T00:00:00,3381.13,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2007-03-30T00:00:00,3570.4,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2007-03-31T00:00:00,3570.4,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,2007-04-30T00:00:00,3717.17,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2007-05-31T00:00:00,3719.22,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2007-06-29T00:00:00,3767.46,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2007-06-30T00:00:00,3767.46,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,2007-07-31T00:00:00,3869.52,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2007-08-31T00:00:00,3871.43,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2007-09-30T00:00:00,3869.69,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2007-10-31T00:00:00,3991.21,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2007-11-30T00:00:00,4069.23,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2007-12-31T00:00:00,4556.97,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2008-01-31T00:00:00,4577.5,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2008-02-29T00:00:00,4552.3,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2008-03-31T00:00:00,4742.8,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2008-04-30T00:00:00,4977.25,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2008-05-30T00:00:00,5244.39,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2008-05-31T00:00:00,5244.39,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,2008-06-30T00:00:00,5786.45,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2008-07-31T00:00:00,5616.06,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2008-08-29T00:00:00,5286.92,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2008-08-31T00:00:00,5286.92,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,2008-09-30T00:00:00,5012.09,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2008-10-31T00:00:00,4734.75,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2008-11-30T00:00:00,4523.43,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2008-12-31T00:00:00,4640.78,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2009-01-30T00:00:00,4348.12,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2009-01-31T00:00:00,4348.12,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,2009-02-28T00:00:00,4354.38,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2009-03-31T00:00:00,4320.36,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2009-04-30T00:00:00,4620.28,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2009-05-29T00:00:00,4369.96,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2009-05-31T00:00:00,4369.96,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,2009-06-30T00:00:00,4821.61,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2009-07-31T00:00:00,4830.14,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2009-08-31T00:00:00,5125.15,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2009-09-30T00:00:00,5235.15,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2009-10-30T00:00:00,5346.66,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2009-10-31T00:00:00,5346.66,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,2009-11-30T00:00:00,5320.94,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
